pollster,date,seats
Opinium,28/03/2025,"{'Reform UK': 181, 'Labour': 234, 'Conservative': 119, 'Liberal Democrats': 72, 'SNP': 21, 'Others': 14, 'Green': 5, 'Plaid Cymru': 4}"
"Find Out Now
 

 Electoral Calculus",27/03/2025,"{'Reform UK': 65, 'Labour': 306, 'Conservative': 171, 'Liberal Democrats': 72, 'SNP': 13, 'Others': 15, 'Green': 4, 'Plaid Cymru': 4}"
BMG Research,27/03/2025,"{'Reform UK': 82, 'Labour': 292, 'Conservative': 164, 'Liberal Democrats': 73, 'SNP': 13, 'Others': 18, 'Green': 4, 'Plaid Cymru': 4}"
Techne,26/03/2025,"{'Reform UK': 162, 'Labour': 230, 'Conservative': 140, 'Liberal Democrats': 72, 'SNP': 22, 'Others': 14, 'Green': 6, 'Plaid Cymru': 4}"
Find Out Now,24/03/2025,"{'Reform UK': 80, 'Labour': 280, 'Conservative': 165, 'Liberal Democrats': 78, 'SNP': 22, 'Others': 20, 'Green': 5, 'Plaid Cymru': 0}"
YouGov,24/03/2025,"{'Reform UK': 92, 'Labour': 248, 'Conservative': 196, 'Liberal Democrats': 70, 'SNP': 19, 'Others': 16, 'Green': 5, 'Plaid Cymru': 4}"
More in Common,21/03/2025,"{'Reform UK': 143, 'Labour': 289, 'Conservative': 103, 'Liberal Democrats': 77, 'SNP': 15, 'Others': 15, 'Green': 4, 'Plaid Cymru': 4}"
Opinium,20/03/2025,"{'Reform UK': 54, 'Labour': 331, 'Conservative': 155, 'Liberal Democrats': 73, 'SNP': 10, 'Others': 19, 'Green': 4, 'Plaid Cymru': 4}"
Techne,19/03/2025,"{'Reform UK': 217, 'Labour': 204, 'Conservative': 103, 'Liberal Democrats': 78, 'SNP': 24, 'Others': 14, 'Green': 6, 'Plaid Cymru': 4}"
Find Out Now,17/03/2025,"{'Reform UK': 86, 'Labour': 313, 'Conservative': 140, 'Liberal Democrats': 77, 'SNP': 15, 'Others': 15, 'Green': 4, 'Plaid Cymru': 0}"
YouGov,17/03/2025,"{'Reform UK': 65, 'Labour': 285, 'Conservative': 192, 'Liberal Democrats': 70, 'SNP': 14, 'Others': 16, 'Green': 4, 'Plaid Cymru': 4}"
Deltapoll,17/03/2025,"{'Reform UK': 100, 'Labour': 272, 'Conservative': 169, 'Liberal Democrats': 72, 'SNP': 13, 'Others': 16, 'Green': 4, 'Plaid Cymru': 4}"
More in Common,17/03/2025,"{'Reform UK': 15, 'Labour': 368, 'Conservative': 176, 'Liberal Democrats': 48, 'SNP': 11, 'Others': 18, 'Green': 10, 'Plaid Cymru': 4}"
Lord Ashcroft Polls,13/03/2025,"{'Reform UK': 74, 'Labour': 326, 'Conservative': 137, 'Liberal Democrats': 77, 'SNP': 10, 'Others': 18, 'Green': 4, 'Plaid Cymru': 4}"
Techne,12/03/2025,"{'Reform UK': 192, 'Labour': 237, 'Conservative': 105, 'Liberal Democrats': 72, 'SNP': 21, 'Others': 14, 'Green': 5, 'Plaid Cymru': 4}"
Find Out Now,10/03/2025,"{'Reform UK': 85, 'Labour': 285, 'Conservative': 158, 'Liberal Democrats': 78, 'SNP': 21, 'Others': 18, 'Green': 5, 'Plaid Cymru': 0}"
YouGov,10/03/2025,"{'Reform UK': 110, 'Labour': 276, 'Conservative': 155, 'Liberal Democrats': 73, 'SNP': 13, 'Others': 15, 'Green': 4, 'Plaid Cymru': 4}"
More in Common,09/03/2025,"{'Reform UK': 62, 'Labour': 306, 'Conservative': 171, 'Liberal Democrats': 72, 'SNP': 13, 'Others': 18, 'Green': 4, 'Plaid Cymru': 4}"
JL Partners,07/03/2025,"{'Reform UK': 143, 'Labour': 318, 'Conservative': 79, 'Liberal Democrats': 77, 'SNP': 12, 'Others': 13, 'Green': 4, 'Plaid Cymru': 4}"
Opinium,06/03/2025,"{'Reform UK': 91, 'Labour': 331, 'Conservative': 115, 'Liberal Democrats': 77, 'SNP': 12, 'Others': 16, 'Green': 4, 'Plaid Cymru': 4}"
Techne,05/03/2025,"{'Reform UK': 158, 'Labour': 270, 'Conservative': 110, 'Liberal Democrats': 73, 'SNP': 16, 'Others': 14, 'Green': 5, 'Plaid Cymru': 4}"
Find Out Now,03/03/2025,"{'Reform UK': 111, 'Labour': 307, 'Conservative': 120, 'Liberal Democrats': 78, 'SNP': 15, 'Others': 15, 'Green': 4, 'Plaid Cymru': 0}"
YouGov,02/03/2025,"{'Reform UK': 163, 'Labour': 232, 'Conservative': 137, 'Liberal Democrats': 77, 'SNP': 19, 'Others': 14, 'Green': 4, 'Plaid Cymru': 4}"
Freshwater Strategy,02/03/2025,"{'Reform UK': 73, 'Labour': 304, 'Conservative': 168, 'Liberal Democrats': 72, 'SNP': 10, 'Others': 15, 'Green': 4, 'Plaid Cymru': 4}"
More in Common,28/02/2025,"{'Reform UK': 60, 'Labour': 299, 'Conservative': 165, 'Liberal Democrats': 77, 'SNP': 21, 'Others': 24, 'Green': 4, 'Plaid Cymru': 0}"
Focaldata,27/02/2025,"{'Reform UK': 98, 'Labour': 306, 'Conservative': 139, 'Liberal Democrats': 73, 'SNP': 10, 'Others': 16, 'Green': 4, 'Plaid Cymru': 4}"
Techne,26/02/2025,"{'Reform UK': 229, 'Labour': 208, 'Conservative': 91, 'Liberal Democrats': 77, 'SNP': 22, 'Others': 14, 'Green': 5, 'Plaid Cymru': 4}"
Find Out Now,26/02/2025,"{'Reform UK': 161, 'Labour': 272, 'Conservative': 112, 'Liberal Democrats': 72, 'SNP': 15, 'Others': 14, 'Green': 4, 'Plaid Cymru': 0}"
BMG Research,24/02/2025,"{'Reform UK': 129, 'Labour': 258, 'Conservative': 141, 'Liberal Democrats': 78, 'SNP': 21, 'Others': 15, 'Green': 4, 'Plaid Cymru': 4}"
YouGov,24/02/2025,"{'Reform UK': 101, 'Labour': 235, 'Conservative': 198, 'Liberal Democrats': 73, 'SNP': 19, 'Others': 15, 'Green': 5, 'Plaid Cymru': 4}"
More in Common,21/02/2025,"{'Reform UK': 115, 'Labour': 326, 'Conservative': 103, 'Liberal Democrats': 73, 'SNP': 12, 'Others': 13, 'Green': 4, 'Plaid Cymru': 4}"
Opinium,20/02/2025,"{'Reform UK': 138, 'Labour': 266, 'Conservative': 134, 'Liberal Democrats': 72, 'SNP': 16, 'Others': 16, 'Green': 4, 'Plaid Cymru': 4}"
Techne,19/02/2025,"{'Reform UK': 232, 'Labour': 234, 'Conservative': 73, 'Liberal Democrats': 76, 'SNP': 16, 'Others': 14, 'Green': 5, 'Plaid Cymru': 0}"
Find Out Now,18/02/2025,"{'Reform UK': 132, 'Labour': 264, 'Conservative': 150, 'Liberal Democrats': 72, 'SNP': 13, 'Others': 15, 'Green': 4, 'Plaid Cymru': 0}"
More in Common,17/02/2025,"{'Reform UK': 181, 'Labour': 258, 'Conservative': 95, 'Liberal Democrats': 78, 'SNP': 16, 'Others': 14, 'Green': 4, 'Plaid Cymru': 4}"
YouGov,17/02/2025,"{'Reform UK': 50, 'Labour': 343, 'Conservative': 152, 'Liberal Democrats': 70, 'SNP': 10, 'Others': 17, 'Green': 4, 'Plaid Cymru': 4}"
Lord Ashcroft Polls,13/02/2025,"{'Reform UK': 96, 'Labour': 306, 'Conservative': 140, 'Liberal Democrats': 72, 'SNP': 10, 'Others': 18, 'Green': 4, 'Plaid Cymru': 4}"
Techne,12/02/2025,"{'Reform UK': 254, 'Labour': 198, 'Conservative': 82, 'Liberal Democrats': 72, 'SNP': 22, 'Others': 14, 'Green': 4, 'Plaid Cymru': 4}"
Find Out Now,10/02/2025,"{'Reform UK': 161, 'Labour': 271, 'Conservative': 106, 'Liberal Democrats': 78, 'SNP': 16, 'Others': 14, 'Green': 4, 'Plaid Cymru': 0}"
YouGov,10/02/2025,"{'Reform UK': 110, 'Labour': 276, 'Conservative': 156, 'Liberal Democrats': 72, 'SNP': 13, 'Others': 15, 'Green': 4, 'Plaid Cymru': 4}"
More in Common,07/02/2025,"{'Reform UK': 109, 'Labour': 310, 'Conservative': 125, 'Liberal Democrats': 72, 'SNP': 12, 'Others': 14, 'Green': 4, 'Plaid Cymru': 4}"
Opinium,06/02/2025,"{'Reform UK': 107, 'Labour': 276, 'Conservative': 156, 'Liberal Democrats': 72, 'SNP': 13, 'Others': 18, 'Green': 4, 'Plaid Cymru': 4}"
Techne,05/02/2025,"{'Reform UK': 254, 'Labour': 235, 'Conservative': 46, 'Liberal Democrats': 77, 'SNP': 16, 'Others': 14, 'Green': 4, 'Plaid Cymru': 4}"
Find Out Now,03/02/2025,"{'Reform UK': 142, 'Labour': 260, 'Conservative': 129, 'Liberal Democrats': 78, 'SNP': 21, 'Others': 15, 'Green': 5, 'Plaid Cymru': 0}"
YouGov,03/02/2025,"{'Reform UK': 86, 'Labour': 243, 'Conservative': 209, 'Liberal Democrats': 70, 'SNP': 19, 'Others': 16, 'Green': 4, 'Plaid Cymru': 3}"
More in Common,02/02/2025,"{'Reform UK': 29, 'Labour': 328, 'Conservative': 206, 'Liberal Democrats': 58, 'SNP': 8, 'Others': 14, 'Green': 4, 'Plaid Cymru': 3}"
Freshwater Strategy,30/01/2025,"{'Reform UK': 71, 'Labour': 307, 'Conservative': 159, 'Liberal Democrats': 72, 'SNP': 13, 'Others': 20, 'Green': 4, 'Plaid Cymru': 4}"
Techne,29/01/2025,"{'Reform UK': 207, 'Labour': 221, 'Conservative': 109, 'Liberal Democrats': 72, 'SNP': 22, 'Others': 14, 'Green': 5, 'Plaid Cymru': 0}"
Find Out Now,29/01/2025,"{'Reform UK': 82, 'Labour': 276, 'Conservative': 187, 'Liberal Democrats': 72, 'SNP': 14, 'Others': 15, 'Green': 4, 'Plaid Cymru': 0}"
BMG Research,29/01/2025,"{'Reform UK': 74, 'Labour': 326, 'Conservative': 139, 'Liberal Democrats': 73, 'SNP': 12, 'Others': 18, 'Green': 4, 'Plaid Cymru': 4}"
Survation,27/01/2025,"{'Reform UK': 58, 'Labour': 338, 'Conservative': 141, 'Liberal Democrats': 77, 'SNP': 12, 'Others': 16, 'Green': 4, 'Plaid Cymru': 4}"
YouGov,27/01/2025,"{'Reform UK': 104, 'Labour': 272, 'Conservative': 170, 'Liberal Democrats': 72, 'SNP': 13, 'Others': 15, 'Green': 4, 'Plaid Cymru': 0}"
More in Common,29/01/2025,"{'Reform UK': 105, 'Labour': 242, 'Conservative': 178, 'Liberal Democrats': 72, 'SNP': 20, 'Others': 24, 'Green': 5, 'Plaid Cymru': 4}"
"Find Out Now
 

 Electoral Calculus",24/01/2025,"{'Reform UK': 133, 'Labour': 315, 'Conservative': 97, 'Liberal Democrats': 72, 'SNP': 12, 'Others': 13, 'Green': 4, 'Plaid Cymru': 4}"
Opinium,23/01/2025,"{'Reform UK': 106, 'Labour': 304, 'Conservative': 120, 'Liberal Democrats': 77, 'SNP': 16, 'Others': 16, 'Green': 7, 'Plaid Cymru': 4}"
Whitestone Insight,23/01/2025,"{'Reform UK': 77, 'Labour': 288, 'Conservative': 172, 'Liberal Democrats': 72, 'SNP': 13, 'Others': 20, 'Green': 4, 'Plaid Cymru': 4}"
Techne,22/01/2025,"{'Reform UK': 163, 'Labour': 208, 'Conservative': 164, 'Liberal Democrats': 72, 'SNP': 22, 'Others': 15, 'Green': 6, 'Plaid Cymru': 0}"
Find Out Now,20/01/2025,"{'Reform UK': 86, 'Labour': 313, 'Conservative': 140, 'Liberal Democrats': 77, 'SNP': 15, 'Others': 15, 'Green': 4, 'Plaid Cymru': 0}"
YouGov,20/01/2025,"{'Reform UK': 105, 'Labour': 240, 'Conservative': 193, 'Liberal Democrats': 70, 'SNP': 19, 'Others': 15, 'Green': 4, 'Plaid Cymru': 4}"
More in Common,20/01/2025,"{'Reform UK': 34, 'Labour': 347, 'Conservative': 167, 'Liberal Democrats': 70, 'SNP': 10, 'Others': 14, 'Green': 4, 'Plaid Cymru': 4}"
Deltapoll,20/01/2025,"{'Reform UK': 23, 'Labour': 340, 'Conservative': 176, 'Liberal Democrats': 70, 'SNP': 10, 'Others': 22, 'Green': 5, 'Plaid Cymru': 4}"
Lord Ashcroft Polls,16/01/2025,"{'Reform UK': 59, 'Labour': 304, 'Conservative': 182, 'Liberal Democrats': 70, 'SNP': 10, 'Others': 21, 'Green': 4, 'Plaid Cymru': 0}"
Techne,15/01/2025,"{'Reform UK': 105, 'Labour': 239, 'Conservative': 194, 'Liberal Democrats': 70, 'SNP': 19, 'Others': 15, 'Green': 5, 'Plaid Cymru': 3}"
Find Out Now,14/01/2025,"{'Reform UK': 47, 'Labour': 314, 'Conservative': 184, 'Liberal Democrats': 72, 'SNP': 10, 'Others': 19, 'Green': 4, 'Plaid Cymru': 0}"
JL Partners,13/01/2025,"{'Reform UK': 99, 'Labour': 303, 'Conservative': 133, 'Liberal Democrats': 77, 'SNP': 15, 'Others': 15, 'Green': 4, 'Plaid Cymru': 4}"
YouGov,13/01/2025,"{'Reform UK': 92, 'Labour': 249, 'Conservative': 196, 'Liberal Democrats': 70, 'SNP': 19, 'Others': 16, 'Green': 4, 'Plaid Cymru': 4}"
More in Common,10/01/2025,"{'Reform UK': 54, 'Labour': 349, 'Conservative': 166, 'Liberal Democrats': 50, 'SNP': 11, 'Others': 12, 'Green': 4, 'Plaid Cymru': 4}"
Opinium,08/01/2025,"{'Reform UK': 143, 'Labour': 287, 'Conservative': 107, 'Liberal Democrats': 73, 'SNP': 16, 'Others': 15, 'Green': 5, 'Plaid Cymru': 4}"
Find Out Now,08/01/2025,"{'Reform UK': 44, 'Labour': 300, 'Conservative': 199, 'Liberal Democrats': 70, 'SNP': 13, 'Others': 17, 'Green': 4, 'Plaid Cymru': 3}"
More in Common,06/01/2025,"{'Reform UK': 38, 'Labour': 300, 'Conservative': 223, 'Liberal Democrats': 62, 'SNP': 8, 'Others': 12, 'Green': 4, 'Plaid Cymru': 3}"
Freshwater Strategy,03/01/2025,"{'Reform UK': 37, 'Labour': 367, 'Conservative': 144, 'Liberal Democrats': 72, 'SNP': 10, 'Others': 12, 'Green': 4, 'Plaid Cymru': 4}"
